Organism,Phylym,Gender,Specie,Collection,Color of the mycelium,Pigmentation of the medium,Outline of the colony,Density of the mycelium,Aerial mycelium,Special structures,Exudates,Meiospores,Septa,Mitospores,Sporogenesis,Color of the mitospores,Form of the mitospores,Number of cells,Disposition of mitospores,Regroupment of mitospores,Color of the colony,Form of the blastospores,Photo genre,Photo micro genre,Dessus,Dessous,Photo micro
,,Phoma,,,,,,,,,,,,,,,,,,,,,,,,,
,,Epicoccum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Phoma,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria,,,,,,,,,,,,,,,,,,,,,,,,,
,,in progress,,,,,,,,,,,,,,,,,,,,,,,,,
,,in progress,,,,,,,,,,,,,,,,,,,,,,,,,
,,in progress,,,,,,,,,,,,,,,,,,,,,,,,,
,,Epicoccum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Phoma,,,,,,,,,,,,,,,,,,,,,,,,,
,,Botrytis,,,,,,,,,,,,,,,,,,,,,,,,,
,,Paraphoma,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Phoma,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria,,,,,,,,,,,,,,,,,,,,,,,,,
,,No exploitables,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cladosporium,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cladosporium,,,,,,,,,,,,,,,,,,,,,,,,,
,,in progress,,,,,,,,,,,,,,,,,,,,,,,,,
,,in progress,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Phoma,,,,,,,,,,,,,,,,,,,,,,,,,
,,in progress,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cladosporium,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria,,,,,,,,,,,,,,,,,,,,,,,,,
,,in progress,,,,,,,,,,,,,,,,,,,,,,,,,
,,in progress,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,in progress,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,in progress,,,,,,,,,,,,,,,,,,,,,,,,,
,,in progress,,,,,,,,,,,,,,,,,,,,,,,,,
,,in progress,,,,,,,,,,,,,,,,,,,,,,,,,
,,in progress,,,,,,,,,,,,,,,,,,,,,,,,,
,,Claviceps,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cladosporium OU uncultured Davidiella,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cladosporium,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cladosporium OU uncultured Davidiella,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pas de Produit,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cladosporium,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,in progress,,,,,,,,,,,,,,,,,,,,,,,,,
,,in progress,,,,,,,,,,,,,,,,,,,,,,,,,
,,in progress,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cladosporium,,,,,,,,,,,,,,,,,,,,,,,,,
,,in progress,,,,,,,,,,,,,,,,,,,,,,,,,
,,Phoma,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,in progress,,,,,,,,,,,,,,,,,,,,,,,,,
,,in progress,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria,,,,,,,,,,,,,,,,,,,,,,,,,
,,in progress,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cladosporium,,,,,,,,,,,,,,,,,,,,,,,,,
,,Leptosphaeria,,,,,,,,,,,,,,,,,,,,,,,,,
,,Leptosphaeria,,,,,,,,,,,,,,,,,,,,,,,,,
,,Talaromyces ou Penicillium,,,,,,,,,,,,,,,,,,,,,,,,,
,,Leptosphaeria,,,,,,,,,,,,,,,,,,,,,,,,,
,,Leptosphaeria,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria infectoria,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sequenced but bad quality,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Epicoccum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,séquençage pas marché,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria infectoria,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium chlamydosporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cladosporium,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium chlamydosporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,bad quality but Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium chlamydosporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria infectoria,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium,,,,,,,,,,,,,,,,,,,,,,,,,
,,bad quality but Penicillium,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,séquençage puis PCR pas marché,,,,,,,,,,,,,,,,,,,,,,,,,
,,séquençage puis PCR pas marché,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium chlamydosporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium graminearum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium graminearum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,séquençage pas marché,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium chlamydosporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Epicoccum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium graminearum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium graminearum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium solani,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium solani,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium solani,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium chlamydosporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
