Organisme,Phylym,Genre,Espèce,Collection,Couleur du mycélium,Pigmentation du milieu,Contour de la colonie,Densité du mycélium,Mycélium aérien,Structures particulières,Exudats,Méiospores,Septa,Mitospores,Sporogénèse,Couleur des mitospores,Forme des mitospores,Nombre de cellules,Disposition des mitospores,Regroupement des mitospores,Couleur de la colonie,Forme des blastospores,Photo genre,Photo micro genre,Dessus,Dessous,Photo micro
,,Phoma,,,,,,,,,,,,,,,,,,,,,,,,,
,,Epicoccum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Phoma,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,Epicoccum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Phoma,,,,,,,,,,,,,,,,,,,,,,,,,
,,Botrytis,,,,,,,,,,,,,,,,,,,,,,,,,
,,Paraphoma,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Phoma,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria,,,,,,,,,,,,,,,,,,,,,,,,,
,,non exploitables,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cladosporium,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cladosporium,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Phoma,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cladosporium,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,Claviceps,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cladosporium OU uncultured Davidiella,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cladosporium,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cladosporium OU uncultured Davidiella,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pas de Produit,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cladosporium,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cladosporium,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,Phoma,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cladosporium,,,,,,,,,,,,,,,,,,,,,,,,,
,,Leptosphaeria,,,,,,,,,,,,,,,,,,,,,,,,,
,,Leptosphaeria,,,,,,,,,,,,,,,,,,,,,,,,,
,,Talaromyces ou Penicillium,,,,,,,,,,,,,,,,,,,,,,,,,
,,Leptosphaeria,,,,,,,,,,,,,,,,,,,,,,,,,
,,Leptosphaeria,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria infectoria,,,,,,,,,,,,,,,,,,,,,,,,,
,,Séquencé mais mauvaise qualité,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Epicoccum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,séquençage pas marché,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria infectoria,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium chlamydosporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cladosporium,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium chlamydosporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,mauvaise qualité mais Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium chlamydosporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria infectoria,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium,,,,,,,,,,,,,,,,,,,,,,,,,
,,mauvaise qualité mais Penicillium,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,séquençage puis PCR pas marché,,,,,,,,,,,,,,,,,,,,,,,,,
,,séquençage puis PCR pas marché,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium chlamydosporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium graminearum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium graminearum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,séquençage pas marché,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium chlamydosporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Epicoccum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium graminearum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium graminearum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium solani,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium solani,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium solani,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium chlamydosporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
